date,price
2024-01-01,200.00
2024-01-02,198.50
2024-01-03,195.80
2024-01-04,193.20
2024-01-05,190.40
2024-01-08,187.90
2024-01-09,185.30
2024-01-10,182.60
2024-01-11,180.20
2024-01-12,177.80
2024-01-15,175.40
2024-01-16,172.90
2024-01-17,170.50
2024-01-18,168.20
2024-01-19,165.80
2024-01-22,163.40
2024-01-23,161.10
2024-01-24,158.70
2024-01-25,156.30
2024-01-26,154.00
2024-01-29,151.60
2024-01-30,149.20
2024-01-31,146.90
2024-02-01,144.50
2024-02-02,142.10
2024-02-05,139.80
2024-02-06,137.40
2024-02-07,135.00
2024-02-08,132.70
2024-02-09,130.30
2024-02-12,127.90
2024-02-13,125.60
2024-02-14,123.20
2024-02-15,120.80
2024-02-16,118.50
2024-02-19,116.10
2024-02-20,113.70
2024-02-21,111.40
2024-02-22,109.00
2024-02-23,106.60
2024-02-26,104.30
2024-02-27,101.90
2024-02-28,99.50
2024-02-29,97.20
2024-03-01,94.80
2024-03-04,92.40
2024-03-05,90.10
2024-03-06,87.70
2024-03-07,85.30
2024-03-08,83.00
2024-03-11,80.60
2024-03-12,78.20
2024-03-13,75.90
2024-03-14,73.50
2024-03-15,71.10
2024-03-18,68.80
2024-03-19,66.40
2024-03-20,64.00
2024-03-21,61.70
2024-03-22,59.30
2024-03-25,56.90
2024-03-26,54.60
2024-03-27,52.20
2024-03-28,49.80
2024-04-01,47.50
2024-04-02,45.10
2024-04-03,42.70
2024-04-04,40.40
2024-04-05,38.00
2024-04-08,35.60
2024-04-09,33.30
2024-04-10,30.90
2024-04-11,28.50
2024-04-12,26.20
2024-04-15,23.80
2024-04-16,21.40
2024-04-17,19.10
2024-04-18,16.70
2024-04-19,14.30
2024-04-22,12.00
2024-04-23,9.60
2024-04-24,7.20
2024-04-25,4.90
2024-04-26,2.50
2024-04-29,0.10
2024-04-30,0.00 
