date,price
2024-01-01,150.25
2024-01-02,152.30
2024-01-03,151.80
2024-01-04,153.45
2024-01-05,154.20
2024-01-08,155.10
2024-01-09,156.75
2024-01-10,157.30
2024-01-11,158.90
2024-01-12,159.45
2024-01-15,160.20
2024-01-16,161.80
2024-01-17,162.40
2024-01-18,163.15
2024-01-19,164.30
2024-01-22,165.75
2024-01-23,166.90
2024-01-24,167.45
2024-01-25,168.20
2024-01-26,169.10
2024-01-29,170.30
2024-01-30,171.80
2024-01-31,172.45
2024-02-01,173.20
2024-02-02,174.10
2024-02-05,175.30
2024-02-06,176.80
2024-02-07,177.45
2024-02-08,178.20
2024-02-09,179.10
2024-02-12,180.30
2024-02-13,181.80
2024-02-14,182.45
2024-02-15,183.20
2024-02-16,184.10
2024-02-19,185.30
2024-02-20,186.80
2024-02-21,187.45
2024-02-22,188.20
2024-02-23,189.10
2024-02-26,190.30
2024-02-27,191.80
2024-02-28,192.45
2024-02-29,193.20
2024-03-01,194.10
2024-03-04,195.30
2024-03-05,196.80
2024-03-06,197.45
2024-03-07,198.20
2024-03-08,199.10
2024-03-11,200.30
2024-03-12,201.80
2024-03-13,202.45
2024-03-14,203.20
2024-03-15,204.10 
