date,price
2024-01-01,100.00
2024-01-02,105.50
2024-01-03,98.75
2024-01-04,112.30
2024-01-05,95.20
2024-01-08,108.90
2024-01-09,102.45
2024-01-10,115.60
2024-01-11,92.80
2024-01-12,110.25
2024-01-15,105.70
2024-01-16,118.40
2024-01-17,101.30
2024-01-18,122.80
2024-01-19,97.60
2024-01-22,125.90
2024-01-23,103.20
2024-01-24,130.45
2024-01-25,99.80
2024-01-26,135.70
2024-01-29,106.40
2024-01-30,140.20
2024-01-31,104.90
2024-02-01,145.80
2024-02-02,108.60
2024-02-05,150.30
2024-02-06,111.20
2024-02-07,155.90
2024-02-08,113.80
2024-02-09,160.45
2024-02-12,116.40
2024-02-13,165.20
2024-02-14,118.90
2024-02-15,170.80
2024-02-16,121.50
2024-02-19,175.60
2024-02-20,124.10
2024-02-21,180.30
2024-02-22,126.70
2024-02-23,185.90
2024-02-26,129.30
2024-02-27,190.50
2024-02-28,131.90
2024-02-29,195.20
2024-03-01,134.50
2024-03-04,200.10
2024-03-05,137.10
2024-03-06,205.80
2024-03-07,139.70
2024-03-08,210.40
2024-03-11,142.30
2024-03-12,215.90
2024-03-13,144.90
2024-03-14,220.60
2024-03-15,147.50
2024-03-18,225.30
2024-03-19,150.10
2024-03-20,230.80
2024-03-21,152.70
2024-03-22,235.40
2024-03-25,155.30
2024-03-26,240.90
2024-03-27,157.90
2024-03-28,245.60
2024-04-01,160.50
2024-04-02,250.30
2024-04-03,163.10
2024-04-04,255.80
2024-04-05,165.70
2024-04-08,260.40
2024-04-09,168.30
2024-04-10,265.90
2024-04-11,170.90
2024-04-12,270.60
2024-04-15,173.50
2024-04-16,275.30
2024-04-17,176.10
2024-04-18,280.80
2024-04-19,178.70
2024-04-22,285.40
2024-04-23,181.30
2024-04-24,290.90
2024-04-25,183.90
2024-04-26,295.60
2024-04-29,186.50
2024-04-30,300.30 
